,Steps,Time [s],Directional Deformation (Min) [mm],[B] Force Reaction  (X) [N],Displacement,Force,Displacement1,Force1
1,1,3.33E-02,-0.3334,-161.17,0.3334,161.17,0.33333,227.62
2,1,6.67E-02,-0.6668,-322.34,0.6668,322.34,0.66667,449.86
3,1,0.1,-1.0002,-483.51,1.0002,483.51,1,666.87
4,1,0.13333,-1.3336,-644.69,1.3336,644.69,1.3333,878.82
5,1,0.16667,-1.667,-805.86,1.667,805.86,1.6667,1085.9
6,1,0.2,-2.0004,-967.03,2.0004,967.03,2,1288.1
7,1,0.23333,-2.3338,-1128.2,2.3338,1128.2,2.3333,1485.8
8,1,0.26667,-2.6672,-1289.4,2.6672,1289.4,2.6667,1679
9,1,0.3,-3.0006,-1450.5,3.0006,1450.5,3,1867.8
10,1,0.33333,-3.334,-1611.7,3.334,1611.7,3.3333,2052.4
11,1,0.36667,-3.6674,-1772.9,3.6674,1772.9,3.6667,2232.9
12,1,0.4,-4.0008,-1934.1,4.0008,1934.1,4,2409.5
13,1,0.43333,-4.3342,-2095.2,4.3342,2095.2,4.3333,2582.1
14,1,0.46667,-4.6676,-2256.4,4.6676,2256.4,4.6667,2751
15,1,0.5,-5.001,-2417.6,5.001,2417.6,5,2916.3
16,1,0.53333,-5.3344,-2578.7,5.3344,2578.7,5.3333,3078
17,1,0.56667,-5.6678,-2739.9,5.6678,2739.9,5.6667,3236.2
18,1,0.6,-6.0012,-2901.1,6.0012,2901.1,6,3391.1
19,1,0.63333,-6.3346,-3062.3,6.3346,3062.3,6.3333,3542.8
20,1,0.66667,-6.668,-3223.4,6.668,3223.4,6.6667,3691.2
21,1,0.7,-7.0014,-3384.6,7.0014,3384.6,7,3836.6
22,1,0.73333,-7.3348,-3545.8,7.3348,3545.8,7.3333,3978.9
23,1,0.76667,-7.6682,-3706.9,7.6682,3706.9,7.6667,4118.3
24,1,0.8,-8.0016,-3868.1,8.0016,3868.1,8,4254.9
25,1,0.83333,-8.335,-4029.3,8.335,4029.3,8.3333,4388.7
26,1,0.86667,-8.6684,-4190.5,8.6684,4190.5,8.6667,4519.8
27,1,0.9,-9.0018,-4351.6,9.0018,4351.6,9,4648.2
28,1,0.93333,-9.3352,-4512.8,9.3352,4512.8,9.3333,4774.1
29,1,0.96667,-9.6686,-4674,9.6686,4674,9.6667,4897.4
30,1,1,-10.002,-4835.1,10.002,4835.1,10,5018.4
31,2,2,-10.002,-4835.1,10.002,4835.1,,
