,Stress,Strain
0,-1.7784803921568628,-0.005129692307692307
1,-3.522990196078432,-0.01025923076923077
2,-5.234313725490196,-0.015389230769230768
3,-6.913235294117648,-0.02051846153846154
4,-8.560294117647059,-0.02564769230769231
5,-10.176960784313726,-0.03077692307692308
6,-11.762745098039217,-0.03590769230769231
7,-13.319117647058823,-0.04103692307692308
8,-14.847058823529412,-0.04616615384615384
9,-16.348039215686274,-0.05129538461538462
10,-17.818627450980394,-0.056424615384615386
11,-19.265196078431373,-0.06155384615384616
12,-20.680392156862748,-0.06668461538461538
13,-22.076470588235296,-0.07181384615384616
14,-23.439215686274512,-0.07694307692307692
15,-24.782352941176473,-0.0820723076923077
16,-26.098039215686274,-0.08720153846153846
17,-27.393627450980397,-0.09233076923076923
18,-28.66323529411765,-0.09746
19,-29.91225490196079,-0.10258923076923078
20,-31.140196078431373,-0.10771846153846153
21,-32.340196078431376,-0.1128476923076923
22,-33.52401960784314,-0.11797692307692308
23,-34.68382352941177,-0.12310615384615384
24,-35.82794117647059,-0.1282353846153846
25,-36.94901960784314,-0.1333646153846154
26,-38.04901960784314,-0.13849384615384616
27,-39.13137254901961,-0.1436230769230769
28,-40.1921568627451,-0.1487523076923077
29,-41.23970588235294,-0.15387692307692308
