,Steps,Time [s],[D] Force Reaction  (Total) [N]
1,1,2.70E-01,1.58E-01
2,1,5.42E-01,0.31751
3,1,0.81512,0.48148
4,1,1.0894,0.64446
5,1,1.365,0.80924
6,1,1.6419,0.97576
7,1,1.92,1.1441
8,1,2.1991,1.3142
9,1,2.4795,1.4862
10,1,2.7611,1.66
11,1,3.0436,1.8358
12,1,3.3272,2.0134
13,1,3.6119,2.193
14,1,3.8973,2.3746
15,1,4.184,2.5581
16,1,4.4714,2.7437
17,1,4.7596,2.9314
18,1,5.049,3.1212
19,1,5.3393,3.313
20,1,5.6306,3.507
21,1,5.9229,3.7032
22,1,6.2154,3.9016
23,1,6.5084,4.1023
24,1,6.8028,4.3053
25,1,7.0971,4.5105
26,1,7.3914,4.7181
27,1,7.6873,4.9281
28,1,7.9831,5.1406
29,1,8.2785,5.3555
30,1,8.5752,5.5729
